gene_identifier,gene_symbol,name,mapped_ncbi_identifier,comment
ENSMUSG00000094860,Btbd35f27,"BTB domain containing 35, family member 27",NCBIGene:100042275,no expression
ENSMUSG00000044597,Mycs,"myc-like oncogene, s-myc protein",NCBIGene:17870,
ENSMUSG00000095814,Btbd35f7,"BTB domain containing 35, family member 7",NCBIGene:434725,
ENSMUSG00000097342,Gm26618,"predicted gene, 26618",,
ENSMUSG00000073295,Nudt11,nudix (nucleoside diphosphate linked moiety X)-type motif 11,NCBIGene:58242,
ENSMUSG00000073294,AU022751,expressed sequence AU022751,NCBIGene:102991,
ENSMUSG00000073293,Nudt10,nudix (nucleoside diphosphate linked moiety X)-type motif 10,NCBIGene:102954,
ENSMUSG00000023279,Bmp15,bone morphogenetic protein 15,NCBIGene:12155,
ENSMUSG00000068270,Shroom4,shroom family member 4,NCBIGene:208431,
ENSMUSG00000062393,Dgkk,diacylglycerol kinase kappa,NCBIGene:331374,
ENSMUSG00000051592,Ccnb3,cyclin B3,NCBIGene:209091,
ENSMUSG00000050089,Akap4,A kinase (PRKA) anchor protein 4,NCBIGene:11643,
ENSMUSG00000004317,Clcn5,"chloride channel, voltage-sensitive 5",NCBIGene:12728,
ENSMUSG00000046269,Usp27x,"ubiquitin specific peptidase 27, X chromosome",NCBIGene:54651,
ENSMUSG00000087252,Gm14379,predicted gene 14379,NCBIGene:100270707,
ENSMUSG00000063018,2010204K13Rik,RIKEN cDNA 2010204K13 gene,,
ENSMUSG00000039556,Ppp1r3f,"protein phosphatase 1, regulatory subunit 3F",NCBIGene:54646,
ENSMUSG00000039545,Flicr,Foxp3 regulating long intergenic noncoding RNA,NCBIGene:78185,
ENSMUSG00000039521,Foxp3,forkhead box P3,NCBIGene:20371,
ENSMUSG00000031143,Ccdc22,coiled-coil domain containing 22,NCBIGene:54638,
ENSMUSG00000031142,Cacna1f,"calcium channel, voltage-dependent, alpha 1F subunit",NCBIGene:54652,
ENSMUSG00000031144,Syp,synaptophysin,NCBIGene:20977,
ENSMUSG00000087644,Gm14703,predicted gene 14703,,
ENSMUSG00000031145,Prickle3,prickle planar cell polarity protein 3,NCBIGene:54630,
ENSMUSG00000031146,Plp2,proteolipid protein 2,NCBIGene:18824,
ENSMUSG00000031147,Magix,"MAGI family member, X-linked",NCBIGene:54634,
ENSMUSG00000031148,Gpkow,G patch domain and KOW motifs,NCBIGene:209416,
ENSMUSG00000039382,Wdr45,WD repeat domain 45,NCBIGene:54636,
ENSMUSG00000031149,Praf2,PRA1 domain family 2,NCBIGene:54637,
ENSMUSG00000031150,Ccdc120,coiled-coil domain containing 120,NCBIGene:54648,
ENSMUSG00000000134,Tfe3,transcription factor E3,NCBIGene:209446,
ENSMUSG00000031153,Gripap1,GRIP1 associated protein 1,NCBIGene:54645,
ENSMUSG00000009731,Kcnd1,"potassium voltage-gated channel, Shal-related family, member 1",NCBIGene:16506,
ENSMUSG00000031154,Otud5,OTU domain containing 5,NCBIGene:54644,
ENSMUSG00000031155,Pim2,proviral integration site 2,NCBIGene:18715,
ENSMUSG00000031156,Slc35a2,"solute carrier family 35 (UDP-galactose transporter), member A2",NCBIGene:22232,
ENSMUSG00000031157,Pqbp1,polyglutamine binding protein 1,NCBIGene:54633,
ENSMUSG00000031158,Timm17b,translocase of inner mitochondrial membrane 17b,NCBIGene:21855,
ENSMUSG00000073291,Gm10491,predicted gene 10491,,
ENSMUSG00000073290,Gm10490,predicted gene 10490,,
ENSMUSG00000039278,Pcsk1n,proprotein convertase subtilisin/kexin type 1 inhibitor,NCBIGene:30052,
ENSMUSG00000031160,Eras,ES cell-expressed Ras,NCBIGene:353283,
ENSMUSG00000031161,Hdac6,histone deacetylase 6,NCBIGene:15185,
ENSMUSG00000031162,Gata1,GATA binding protein 1,NCBIGene:14460,
ENSMUSG00000031163,Glod5,glyoxalase domain containing 5,NCBIGene:69824,
ENSMUSG00000087193,Gm14820,predicted gene 14820,,
ENSMUSG00000039231,Suv39h1,suppressor of variegation 3-9 1,NCBIGene:20937,
ENSMUSG00000031165,Was,Wiskott-Aldrich syndrome,NCBIGene:22376,
ENSMUSG00000086404,Gm6787,predicted gene 6787,NCBIGene:627782,
ENSMUSG00000031166,Wdr13,WD repeat domain 13,NCBIGene:73447,
ENSMUSG00000031167,Rbm3,"RNA binding motif (RNP1, RRM) protein 3",NCBIGene:19652,
ENSMUSG00000055188,Rbm3os,"RNA binding motif protein 3, opposite strand",NCBIGene:70226,
ENSMUSG00000039201,Tbc1d25,"TBC1 domain family, member 25",NCBIGene:209815,
ENSMUSG00000031168,Ebp,phenylalkylamine Ca2+ antagonist (emopamil) binding protein,NCBIGene:13595,
ENSMUSG00000031169,Porcn,porcupine O-acyltransferase,NCBIGene:53627,
ENSMUSG00000031171,Ftsj1,FtsJ RNA methyltransferase homolog 1 (E. coli),NCBIGene:54632,
ENSMUSG00000031170,Slc38a5,"solute carrier family 38, member 5",NCBIGene:209837,
ENSMUSG00000068219,Ssxb10,"synovial sarcoma, X member B10",NCBIGene:385312,
ENSMUSG00000068218,Ssxb9,"synovial sarcoma, X member B9",NCBIGene:387131,
ENSMUSG00000079705,Ssxb1,"synovial sarcoma, X member B1",NCBIGene:67985,
ENSMUSG00000023165,Ssxb2,"synovial sarcoma, X member B2",NCBIGene:387132,
ENSMUSG00000079704,Gm14459,predicted gene 14459,NCBIGene:546263,
ENSMUSG00000079702,Ssxb6,"synovial sarcoma, X member B6",NCBIGene:668976,
ENSMUSG00000079701,Ssxb3,"synovial sarcoma, X member B3",NCBIGene:278174,
ENSMUSG00000079703,Ssxb8,"synovial sarcoma, X member B8",NCBIGene:631002,
ENSMUSG00000035371,Ssx9,"synovial sarcoma, X 9",NCBIGene:382206,
ENSMUSG00000071816,Ssxb5,"synovial sarcoma, X member B5",NCBIGene:387586,
ENSMUSG00000079699,Gm6592,predicted gene 6592,NCBIGene:625480,
ENSMUSG00000079697,Gm5751,predicted gene 5751,,
ENSMUSG00000052364,B630019K06Rik,RIKEN cDNA B630019K06 gene,NCBIGene:102941,
ENSMUSG00000078208,Fthl17b,"ferritin, heavy polypeptide-like 17, member B",NCBIGene:434726,no expression
ENSMUSG00000060685,Fthl17c,"ferritin, heavy polypeptide-like 17, member C",NCBIGene:434727,
ENSMUSG00000078206,Fthl17d,"ferritin, heavy polypeptide-like 17, member D",NCBIGene:100042782,no expression
ENSMUSG00000071815,Fthl17e,"ferritin, heavy polypeptide-like 17, member E",NCBIGene:83457,
ENSMUSG00000072249,Fthl17f,"ferritin, heavy polypeptide-like 17, member F",NCBIGene:434729,
ENSMUSG00000045797,4930402K13Rik,RIKEN cDNA 4930402K13 gene,NCBIGene:75775,
ENSMUSG00000047344,Lancl3,LanC lantibiotic synthetase component C-like 3 (bacterial),NCBIGene:236285,
ENSMUSG00000079694,Gm14862,predicted gene 14862,NCBIGene:102636575,
ENSMUSG00000015342,Xk,X-linked Kx blood group,NCBIGene:22439,
ENSMUSG00000100200,H2al1m,H2A histone family member L1M,NCBIGene:76383,
ENSMUSG00000100448,H2al1k,H2A histone family member L1K,NCBIGene:547154,
