gene_identifier,gene_symbol,name,mapped_ncbi_identifier,comment
ENSMUSG00000086505,Gm16058,predicted gene 16058,,
ENSMUSG00000002221,Paxip1,PAX interacting (with transcription-activation domain) protein 1,NCBIGene:55982,
ENSMUSG00000039106,Htr5a,5-hydroxytryptamine (serotonin) receptor 5A,NCBIGene:15563,
ENSMUSG00000097673,Gm26608,"predicted gene, 26608",,
ENSMUSG00000045294,Insig1,insulin induced gene 1,NCBIGene:231070,
ENSMUSG00000039095,En2,engrailed 2,NCBIGene:13799,
ENSMUSG00000044681,Cnpy1,canopy FGF signaling regulator 1,NCBIGene:269637,
ENSMUSG00000048271,Rbm33,RNA binding motif protein 33,NCBIGene:381626,
ENSMUSG00000002633,Shh,sonic hedgehog,NCBIGene:20423,
ENSMUSG00000097726,9530036O11Rik,RIKEN cDNA 9530036O11Rik,NCBIGene:654796,
ENSMUSG00000029130,Rnf32,ring finger protein 32,NCBIGene:56874,
ENSMUSG00000010721,Lmbr1,limb region 1,NCBIGene:56873,
ENSMUSG00000097561,4632411P08Rik,RIKEN cDNA 4632411P08 gene,,
ENSMUSG00000001569,Nom1,nucleolar protein with MIF4G domain 1,NCBIGene:433864,
ENSMUSG00000001566,Mnx1,motor neuron and pancreas homeobox 1,NCBIGene:15285,
ENSMUSG00000039000,Ube3c,ubiquitin protein ligase E3C,NCBIGene:100763,
ENSMUSG00000053121,Gm5129,predicted gene 5129,NCBIGene:332993,
ENSMUSG00000029131,Dnajb6,DnaJ heat shock protein family (Hsp40) member B6,NCBIGene:23950,
ENSMUSG00000105437,Gm42450,predicted gene 42450,,
ENSMUSG00000105439,A230098N10Rik,RIKEN cDNA A230098N10 gene,,
ENSMUSG00000025746,Il6,interleukin 6,NCBIGene:16193,
ENSMUSG00000025747,Tyms,thymidylate synthase,NCBIGene:22171,
ENSMUSG00000104667,Gm4961,predicted pseudogene 4961,NCBIGene:242914,
ENSMUSG00000086815,3110082J24Rik,RIKEN cDNA 3110082J24 gene,,
ENSMUSG00000044576,Garem2,GRB2 associated regulator of MAPK1 subtype 2,NCBIGene:242915,
ENSMUSG00000025745,Hadha,"hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit",NCBIGene:97212,
ENSMUSG00000059447,Hadhb,"hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit",NCBIGene:231086,
ENSMUSG00000067642,Adgrf3,adhesion G protein-coupled receptor F3,NCBIGene:381628,
ENSMUSG00000075703,Selenoi,selenoprotein I,NCBIGene:28042,
ENSMUSG00000073102,Drc1,dynein regulatory complex subunit 1,NCBIGene:381738,
ENSMUSG00000106311,Gm43755,predicted gene 43755,,
ENSMUSG00000062372,Otof,otoferlin,NCBIGene:83762,
ENSMUSG00000029182,1700001C02Rik,RIKEN cDNA 1700001C02 gene,NCBIGene:75434,
ENSMUSG00000053194,Cib4,calcium and integrin binding family member 4,NCBIGene:73259,
ENSMUSG00000106300,Gm42765,predicted gene 42765,,
ENSMUSG00000053214,Gm9899,predicted gene 9899,NCBIGene:100502829,
ENSMUSG00000049265,Kcnk3,"potassium channel, subfamily K, member 3",NCBIGene:16527,
ENSMUSG00000029175,Slc35f6,"solute carrier family 35, member F6",NCBIGene:74919,
ENSMUSG00000029177,Cenpa,centromere protein A,NCBIGene:12615,
ENSMUSG00000029168,Dpysl5,dihydropyrimidinase-like 5,NCBIGene:65254,
ENSMUSG00000106173,Gm42764,predicted gene 42764,,
ENSMUSG00000029166,Mapre3,"microtubule-associated protein, RP/EB family, member 3",NCBIGene:100732,
ENSMUSG00000106229,Gm19409,"predicted gene, 19409",,
ENSMUSG00000087258,Gm15461,predicted gene 15461,,
ENSMUSG00000038828,Tmem214,transmembrane protein 214,NCBIGene:68796,
ENSMUSG00000029165,Agbl5,ATP/GTP binding protein-like 5,NCBIGene:231093,
ENSMUSG00000038803,Ost4,oligosaccharyltransferase complex subunit 4 (non-catalytic),NCBIGene:67695,
ENSMUSG00000029163,Emilin1,elastin microfibril interfacer 1,NCBIGene:100952,
ENSMUSG00000029162,Khk,ketohexokinase,NCBIGene:16548,
ENSMUSG00000029161,Cgref1,cell growth regulator with EF hand domain 1,NCBIGene:68567,
ENSMUSG00000045302,Preb,prolactin regulatory element binding,NCBIGene:50907,
ENSMUSG00000006642,Tcf23,transcription factor 23,NCBIGene:69852,
ENSMUSG00000006641,Slc5a6,"solute carrier family 5 (sodium-dependent vitamin transporter), member 6",NCBIGene:330064,
ENSMUSG00000013622,Atraid,all-trans retinoic acid induced differentiation factor,NCBIGene:381629,
ENSMUSG00000013629,Cad,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",NCBIGene:69719,
ENSMUSG00000029151,Slc30a3,"solute carrier family 30 (zinc transporter), member 3",NCBIGene:22784,
ENSMUSG00000053856,Dnajc5g,DnaJ heat shock protein family (Hsp40) member C5 gamma,NCBIGene:231098,
ENSMUSG00000062077,Trim54,tripartite motif-containing 54,NCBIGene:58522,
ENSMUSG00000107265,Gm15469,predicted gene 15469,,
ENSMUSG00000038676,Ucn,urocortin,NCBIGene:22226,
ENSMUSG00000107283,Mpv17,MpV17 mitochondrial inner membrane protein,NCBIGene:17527,
ENSMUSG00000106864,Gtf3c2,"general transcription factor IIIC, polypeptide 2, beta",NCBIGene:71752,
ENSMUSG00000029145,Eif2b4,"eukaryotic translation initiation factor 2B, subunit 4 delta",NCBIGene:13667,
ENSMUSG00000029146,Snx17,sorting nexin 17,NCBIGene:266781,
ENSMUSG00000043059,Zfp513,zinc finger protein 513,NCBIGene:101023,
ENSMUSG00000029147,Ppm1g,"protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform",NCBIGene:14208,
ENSMUSG00000055424,Gm9970,predicted gene 9970,,
ENSMUSG00000029148,Nrbp1,nuclear receptor binding protein 1,NCBIGene:192292,
ENSMUSG00000029149,Krtcap3,keratinocyte associated protein 3,NCBIGene:69815,
ENSMUSG00000038564,Ift172,intraflagellar transport 172,NCBIGene:67661,
ENSMUSG00000038552,Fndc4,fibronectin type III domain containing 4,NCBIGene:64339,
ENSMUSG00000059434,Gckr,glucokinase regulatory protein,NCBIGene:231103,
ENSMUSG00000062761,Zfp512,zinc finger protein 512,NCBIGene:269639,
ENSMUSG00000029138,4930548H24Rik,RIKEN cDNA 4930548H24 gene,NCBIGene:67656,
ENSMUSG00000107142,4930566F21Rik,RIKEN cDNA 4930566F21 gene,,
ENSMUSG00000064037,Gpn1,GPN-loop GTPase 1,NCBIGene:74254,
ENSMUSG00000053134,Supt7l,"SPT7-like, STAGA complex gamma subunit",NCBIGene:72195,
ENSMUSG00000029141,Slc4a1ap,"solute carrier family 4 (anion exchanger), member 1, adaptor protein",NCBIGene:20534,
ENSMUSG00000107352,Gm43660,predicted gene 43660,,
ENSMUSG00000107355,AI839979,expressed sequence AI839979,NCBIGene:100740,
ENSMUSG00000106918,Mrpl33,mitochondrial ribosomal protein L33,NCBIGene:66845,
ENSMUSG00000029136,Rbks,ribokinase,NCBIGene:71336,
ENSMUSG00000052139,Babam2,BRISC and BRCA1 A complex member 2,NCBIGene:107976,
ENSMUSG00000106894,Gm17130,predicted gene 17130,,
ENSMUSG00000029135,Fosl2,fos-like antigen 2,NCBIGene:14284,
ENSMUSG00000029134,Plb1,phospholipase B1,NCBIGene:665270,
ENSMUSG00000107078,Gm36840,"predicted gene, 36840",,
ENSMUSG00000107036,Gm7596,predicted gene 7596,,
ENSMUSG00000014956,Ppp1cb,protein phosphatase 1 catalytic subunit beta,NCBIGene:19046,
ENSMUSG00000085234,Gm15614,predicted gene 15614,NCBIGene:102640951,
ENSMUSG00000014932,Yes1,"YES proto-oncogene 1, Src family tyrosine kinase",NCBIGene:22612,
ENSMUSG00000023452,Pisd,phosphatidylserine decarboxylase,NCBIGene:320951,
ENSMUSG00000105647,Gm43695,predicted gene 43695,,no expression
ENSMUSG00000054280,Prr14l,proline rich 14-like,NCBIGene:215476,
ENSMUSG00000037426,Depdc5,DEP domain containing 5,NCBIGene:277854,
ENSMUSG00000018965,Ywhah,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide",NCBIGene:22629,
ENSMUSG00000011034,Slc5a1,"solute carrier family 5 (sodium/glucose cotransporter), member 1",NCBIGene:20537,
ENSMUSG00000037379,Spon2,"spondin 2, extracellular matrix protein",NCBIGene:100689,
ENSMUSG00000037373,Ctbp1,C-terminal binding protein 1,NCBIGene:13016,
ENSMUSG00000092275,Gm20465,predicted gene 20465,,
ENSMUSG00000079562,Maea,macrophage erythroblast attacher,NCBIGene:59003,
ENSMUSG00000037355,Uvssa,UV stimulated scaffold protein A,NCBIGene:71101,
ENSMUSG00000029112,Nkx1-1,NK1 homeobox 1,NCBIGene:672284,
ENSMUSG00000107248,Gm43851,predicted gene 43851,,
ENSMUSG00000037339,Fam53a,"family with sequence similarity 53, member A",NCBIGene:74504,
ENSMUSG00000097271,Gm9903,predicted gene 9903,,
ENSMUSG00000004642,Slbp,stem-loop binding protein,NCBIGene:20492,
ENSMUSG00000019295,Tmem129,transmembrane protein 129,NCBIGene:68366,
ENSMUSG00000037313,Tacc3,"transforming, acidic coiled-coil containing protein 3",NCBIGene:21335,
ENSMUSG00000054252,Fgfr3,fibroblast growth factor receptor 3,NCBIGene:14184,
ENSMUSG00000005299,Letm1,leucine zipper-EF-hand containing transmembrane protein 1,NCBIGene:56384,
ENSMUSG00000057406,Nsd2,nuclear receptor binding SET domain protein 2,NCBIGene:107823,
ENSMUSG00000029111,Nelfa,"negative elongation factor complex member A, Whsc2",NCBIGene:24116,
ENSMUSG00000107043,Gm42849,predicted gene 42849,,
ENSMUSG00000106688,Gm42851,predicted gene 42851,,
ENSMUSG00000070858,Gm1673,predicted gene 1673,NCBIGene:381633,
ENSMUSG00000048142,Nat8l,N-acetyltransferase 8-like,NCBIGene:269642,
ENSMUSG00000045102,Poln,DNA polymerase N,NCBIGene:272158,
ENSMUSG00000106902,4930557J02Rik,RIKEN cDNA 4930557J02 gene,NCBIGene:75357,
ENSMUSG00000079555,Haus3,"HAUS augmin-like complex, subunit 3",NCBIGene:231123,
ENSMUSG00000037235,Mxd4,Max dimerization protein 4,NCBIGene:17122,
ENSMUSG00000106702,Gm42846,predicted gene 42846,,
ENSMUSG00000037224,Zfyve28,"zinc finger, FYVE domain containing 28",NCBIGene:231125,
ENSMUSG00000086291,Gm15513,predicted gene 15513,,
ENSMUSG00000106888,Gm42848,predicted gene 42848,,
ENSMUSG00000109572,Cfap99,cilia and flagella associated protein 99,NCBIGene:100862066,
ENSMUSG00000107287,Gm43458,predicted gene 43458,,
ENSMUSG00000029110,Rnf4,ring finger protein 4,NCBIGene:19822,
ENSMUSG00000037210,Fam193a,"family with sequence homology 193, member A",NCBIGene:231128,
ENSMUSG00000059866,Tnip2,TNFAIP3 interacting protein 2,NCBIGene:231130,
ENSMUSG00000054520,Sh3bp2,SH3-domain binding protein 2,NCBIGene:24055,
ENSMUSG00000029106,Add1,adducin 1 (alpha),NCBIGene:11518,
ENSMUSG00000001082,Mfsd10,major facilitator superfamily domain containing 10,NCBIGene:68294,
ENSMUSG00000036693,Nop14,NOP14 nucleolar protein,NCBIGene:75416,
ENSMUSG00000085166,Gm15522,predicted gene 15522,NCBIGene:108169039,
ENSMUSG00000052783,Grk4,G protein-coupled receptor kinase 4,NCBIGene:14772,
ENSMUSG00000107246,Gm42560,predicted gene 42560,,
ENSMUSG00000029104,Htt,huntingtin,NCBIGene:15194,
ENSMUSG00000051246,Msantd1,Myb/SANT-like DNA-binding domain containing 1,NCBIGene:403174,
ENSMUSG00000029101,Rgs12,regulator of G-protein signaling 12,NCBIGene:71729,
ENSMUSG00000107040,Gm43791,predicted gene 43791,,
ENSMUSG00000029102,Hgfac,hepatocyte growth factor activator,NCBIGene:54426,
ENSMUSG00000044716,Dok7,docking protein 7,NCBIGene:231134,
ENSMUSG00000029103,Lrpap1,low density lipoprotein receptor-related protein associated protein 1,NCBIGene:16976,
ENSMUSG00000045318,Adra2c,"adrenergic receptor, alpha 2c",NCBIGene:11553,
ENSMUSG00000106762,4930478P22Rik,RIKEN cDNA 4930478P22 gene,NCBIGene:74429,
ENSMUSG00000055944,E130018O15Rik,RIKEN cDNA E130018O15 gene,NCBIGene:442795,
ENSMUSG00000067438,Hmx1,H6 homeobox 1,NCBIGene:15371,
ENSMUSG00000036596,Cpz,carboxypeptidase Z,NCBIGene:242939,
ENSMUSG00000029097,Trmt44,tRNA methyltransferase 44,NCBIGene:78890,
ENSMUSG00000055061,4931431C16Rik,RIKEN cDNA 4931431C16 gene,NCBIGene:74364,
ENSMUSG00000029098,Acox3,"acyl-Coenzyme A oxidase 3, pristanoyl",NCBIGene:80911,
ENSMUSG00000029096,Htra3,HtrA serine peptidase 3,NCBIGene:78558,
ENSMUSG00000036553,Sh3tc1,SH3 domain and tetratricopeptide repeats 1,NCBIGene:231147,
ENSMUSG00000087703,Gm15650,predicted gene 15650,,
ENSMUSG00000029095,Ablim2,actin-binding LIM protein 2,NCBIGene:231148,
ENSMUSG00000029094,Afap1,actin filament associated protein 1,NCBIGene:70292,
ENSMUSG00000029093,Sorcs2,sortilin-related VPS10 domain containing receptor 2,NCBIGene:81840,
ENSMUSG00000043430,Psapl1,prosaposin-like 1,NCBIGene:76943,
ENSMUSG00000039563,2210406O10Rik,RIKEN cDNA 2210406O10 gene,NCBIGene:76710,
ENSMUSG00000029198,Grpel1,"GrpE-like 1, mitochondrial",NCBIGene:17713,
ENSMUSG00000029196,Tada2b,transcriptional adaptor 2B,NCBIGene:231151,
ENSMUSG00000050677,Ccdc96,coiled-coil domain containing 96,NCBIGene:66717,
ENSMUSG00000029192,Tbc1d14,"TBC1 domain family, member 14",NCBIGene:100855,
ENSMUSG00000029190,D5Ertd579e,"DNA segment, Chr 5, ERATO Doi 579, expressed",NCBIGene:320661,
ENSMUSG00000060708,Bloc1s4,"biogenesis of lysosomal organelles complex-1, subunit 4, cappuccino",NCBIGene:117197,
ENSMUSG00000107081,Gm43701,predicted gene 43701,,
ENSMUSG00000055302,Mrfap1,Morf4 family associated protein 1,NCBIGene:67568,
ENSMUSG00000029119,Man2b2,"mannosidase 2, alpha B2",NCBIGene:17160,
ENSMUSG00000029120,Ppp2r2c,"protein phosphatase 2, regulatory subunit B, gamma",NCBIGene:269643,
ENSMUSG00000087487,Ppp2r2cos,"protein phosphatase 2, regulatory subunit B, gamma,  opposite strand",NCBIGene:71054,
ENSMUSG00000039474,Wfs1,wolframin ER transmembrane glycoprotein,NCBIGene:22393,
ENSMUSG00000063646,Jakmip1,janus kinase and microtubule interacting protein 1,NCBIGene:76071,
ENSMUSG00000097686,Gm26647,"predicted gene, 26647",,
ENSMUSG00000117286,Gm1043,predicted gene 1043,NCBIGene:381634,
ENSMUSG00000113373,Jakmip1,janus kinase and microtubule interacting protein 1,,no expression
ENSMUSG00000029121,Crmp1,collapsin response mediator protein 1,NCBIGene:12933,
ENSMUSG00000029122,Evc,EvC ciliary complex subunit 1,NCBIGene:59056,
ENSMUSG00000050248,Evc2,EvC ciliary complex subunit 2,NCBIGene:68525,
ENSMUSG00000029123,Stk32b,serine/threonine kinase 32B,NCBIGene:64293,
ENSMUSG00000062329,Cytl1,cytokine-like 1,NCBIGene:231162,
ENSMUSG00000107131,Gm43763,predicted gene 43763,,
ENSMUSG00000048450,Msx1,msh homeobox 1,NCBIGene:17701,
ENSMUSG00000106718,Gm20052,"predicted gene, 20052",NCBIGene:102637176,
ENSMUSG00000107126,Gm40289,"predicted gene, 40289",,
ENSMUSG00000029125,Stx18,syntaxin 18,NCBIGene:71116,
ENSMUSG00000029126,Nsg1,neuron specific gene family member 1,NCBIGene:18196,
ENSMUSG00000029127,Zbtb49,zinc finger and BTB domain containing 49,NCBIGene:75079,
ENSMUSG00000067367,Lyar,Ly1 antibody reactive clone,NCBIGene:17089,
ENSMUSG00000067365,Tmem128,transmembrane protein 128,NCBIGene:66309,
ENSMUSG00000051596,Otop1,otopetrin 1,NCBIGene:21906,
ENSMUSG00000097029,Gm26560,"predicted gene, 26560",,
ENSMUSG00000039358,Drd5,dopamine receptor D5,NCBIGene:13492,
ENSMUSG00000106932,4930487D11Rik,RIKEN cDNA 4930487D11 gene,NCBIGene:78172,
ENSMUSG00000005107,Slc2a9,"solute carrier family 2 (facilitated glucose transporter), member 9",NCBIGene:117591,
ENSMUSG00000005103,Wdr1,WD repeat domain 1,NCBIGene:22388,
ENSMUSG00000046572,Zfp518b,zinc finger protein 518B,NCBIGene:100515,
ENSMUSG00000039315,Clnk,cytokine-dependent hematopoietic cell linker,NCBIGene:27278,
ENSMUSG00000079528,Clnkos,"cytokine-dependent hematopoietic cell linker, opposite strand",,
ENSMUSG00000106794,Gm40293,"predicted gene, 40293",,
ENSMUSG00000107031,Gm40292,"predicted gene, 40292",NCBIGene:105244735,
ENSMUSG00000106679,Gm42524,predicted gene 42524,,
ENSMUSG00000106741,4930513D17Rik,RIKEN cDNA 4930513D17 gene,NCBIGene:75095,
ENSMUSG00000051022,Hs3st1,heparan sulfate (glucosamine) 3-O-sulfotransferase 1,NCBIGene:15476,
ENSMUSG00000107070,Gm35191,"predicted gene, 35191",NCBIGene:102638690,
ENSMUSG00000029128,Rab28,"RAB28, member RAS oncogene family",NCBIGene:100972,
ENSMUSG00000049691,Nkx3-2,NK3 homeobox 2,NCBIGene:12020,
ENSMUSG00000061755,Bod1l,biorientation of chromosomes in cell division 1-like,NCBIGene:665775,
ENSMUSG00000067285,Gm16223,predicted gene 16223,NCBIGene:433882,
ENSMUSG00000107193,Gm43700,predicted gene 43700,,
ENSMUSG00000106501,Gm42711,predicted gene 42711,,
ENSMUSG00000085720,Gm7854,predicted gene 7854,NCBIGene:665934,
ENSMUSG00000039782,Cpeb2,cytoplasmic polyadenylation element binding protein 2,NCBIGene:231207,
ENSMUSG00000104846,Gm43020,predicted gene 43020,,
ENSMUSG00000107244,Gm43699,predicted gene 43699,,
ENSMUSG00000104691,Gm43021,predicted gene 43021,,
ENSMUSG00000061535,C1qtnf7,C1q and tumor necrosis factor related protein 7,NCBIGene:109323,
ENSMUSG00000087290,Gm15866,predicted gene 15866,,
ENSMUSG00000039765,Cc2d2a,coiled-coil and C2 domain containing 2A,NCBIGene:231214,
ENSMUSG00000039753,Fbxl5,F-box and leucine-rich repeat protein 5,NCBIGene:242960,
ENSMUSG00000104701,Gm42555,predicted gene 42555,,
ENSMUSG00000029082,Bst1,bone marrow stromal cell antigen 1,NCBIGene:12182,
ENSMUSG00000029084,Cd38,CD38 antigen,NCBIGene:12494,
ENSMUSG00000086479,Gm16014,predicted gene 16014,,
ENSMUSG00000087281,Gm16015,predicted gene 16015,NCBIGene:115490183,
ENSMUSG00000033036,Gm7879,predicted pseudogene 7879,NCBIGene:665989,
ENSMUSG00000048373,Fgfbp1,fibroblast growth factor binding protein 1,NCBIGene:14181,
ENSMUSG00000029086,Prom1,prominin 1,NCBIGene:19126,
ENSMUSG00000105264,Gm42716,predicted gene 42716,,
ENSMUSG00000072962,Gm16401,predicted gene 16401,,
ENSMUSG00000105353,Gm42428,predicted gene 42428,,
ENSMUSG00000046985,Tapt1,transmembrane anterior posterior transformation 1,NCBIGene:231225,
ENSMUSG00000105503,Gm42982,predicted gene 42982,,
ENSMUSG00000104784,Gm42984,predicted gene 42984,,
ENSMUSG00000104800,Gm36017,"predicted gene, 36017",NCBIGene:102639787,
ENSMUSG00000039706,Ldb2,LIM domain binding 2,NCBIGene:16826,
ENSMUSG00000104894,Gm43507,predicted gene 43507,,
ENSMUSG00000105224,Gm3364,predicted gene 3364,,
ENSMUSG00000106656,Gm42750,predicted gene 42750,,
ENSMUSG00000062496,4930431F12Rik,RIKEN cDNA 4930431F12 gene,NCBIGene:75783,
ENSMUSG00000029092,D5Ertd615e,"DNA segment, Chr 5, ERATO Doi 615, expressed",NCBIGene:52401,
ENSMUSG00000104781,Gm43303,predicted gene 43303,,
ENSMUSG00000015806,Qdpr,quinoid dihydropteridine reductase,NCBIGene:110391,
ENSMUSG00000105255,Gm42413,"predicted gene, 42413",,
ENSMUSG00000049530,Clrn2,clarin 2,NCBIGene:624224,
ENSMUSG00000039682,Lap3,leucine aminopeptidase 3,NCBIGene:66988,
ENSMUSG00000015804,Med28,mediator complex subunit 28,NCBIGene:66999,
ENSMUSG00000015879,Fam184b,"family with sequence similarity 184, member B",NCBIGene:58227,
ENSMUSG00000097825,9630001P10Rik,RIKEN cDNA 9630001P10 gene,NCBIGene:319251,
ENSMUSG00000015880,Ncapg,"non-SMC condensin I complex, subunit G",NCBIGene:54392,
ENSMUSG00000015882,Lcorl,ligand dependent nuclear receptor corepressor-like,NCBIGene:209707,
ENSMUSG00000106602,4930405L22Rik,RIKEN cDNA 4930405L22 gene,NCBIGene:78106,
ENSMUSG00000031558,Slit2,slit guidance ligand 2,NCBIGene:20563,
ENSMUSG00000092309,4930518C09Rik,RIKEN cDNA 4930518C09 gene,,
ENSMUSG00000092559,Gm20475,predicted gene 20475,,
ENSMUSG00000029089,5730480H06Rik,RIKEN cDNA 5730480H06 gene,NCBIGene:66768,
ENSMUSG00000029088,Kcnip4,Kv channel interacting protein 4,NCBIGene:80334,
ENSMUSG00000093502,Gm20700,predicted gene 20700,,
ENSMUSG00000029090,Adgra3,adhesion G protein-coupled receptor A3,NCBIGene:70693,
ENSMUSG00000104870,4930448I18Rik,RIKEN cDNA 4930448I18 gene,NCBIGene:73965,
ENSMUSG00000105423,Gm36814,"predicted gene, 36814",,
ENSMUSG00000105320,Gm43016,predicted gene 43016,,
ENSMUSG00000029167,Ppargc1a,"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha",NCBIGene:19017,
ENSMUSG00000104847,Gm43177,predicted gene 43177,,
ENSMUSG00000029169,Dhx15,DEAH (Asp-Glu-Ala-His) box polypeptide 15,NCBIGene:13204,
ENSMUSG00000097145,9230114K14Rik,RIKEN cDNA 9230114K14 gene,NCBIGene:414108,
ENSMUSG00000106464,C130083M11Rik,RIKEN cDNA C130083M11 gene,NCBIGene:414111,
ENSMUSG00000104751,Gm43179,predicted gene 43179,,no expression
ENSMUSG00000072941,Sod3,"superoxide dismutase 3, extracellular",NCBIGene:20657,
ENSMUSG00000045790,Ccdc149,coiled-coil domain containing 149,NCBIGene:100503884,
ENSMUSG00000106380,Gm3519,predicted gene 3519,NCBIGene:100041805,
ENSMUSG00000039252,Lgi2,"leucine-rich repeat LGI family, member 2",NCBIGene:246316,
ENSMUSG00000104829,Gm43685,predicted gene 43685,,
ENSMUSG00000052295,8030423F21Rik,RIKEN cDNA 8030423F21 gene,NCBIGene:211001,
ENSMUSG00000029173,Sepsecs,Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase,NCBIGene:211006,
ENSMUSG00000029186,Pi4k2b,phosphatidylinositol 4-kinase type 2 beta,NCBIGene:67073,
ENSMUSG00000029179,Zcchc4,"zinc finger, CCHC domain containing 4",NCBIGene:78796,
ENSMUSG00000029176,Anapc4,anaphase promoting complex subunit 4,NCBIGene:52206,
ENSMUSG00000106352,5033403H07Rik,RIKEN cDNA 5033403H07 gene,NCBIGene:75954,
ENSMUSG00000106538,Gm30301,"predicted gene, 30301",,
ENSMUSG00000029188,Slc34a2,"solute carrier family 34 (sodium phosphate), member 2",NCBIGene:20531,
ENSMUSG00000090642,Gm17182,predicted gene 17182,,
ENSMUSG00000029189,Sel1l3,sel-1 suppressor of lin-12-like 3 (C. elegans),NCBIGene:231238,
ENSMUSG00000061461,Smim20,small integral membrane protein 20,NCBIGene:66278,
ENSMUSG00000106981,Gm45495,predicted gene 45495,,
ENSMUSG00000106808,Gm42745,predicted gene 42745,,
ENSMUSG00000039191,Rbpj,recombination signal binding protein for immunoglobulin kappa J region,NCBIGene:19664,
ENSMUSG00000106807,Gm10441,predicted gene 10441,,
ENSMUSG00000107111,Gm40304,"predicted gene, 40304",,
ENSMUSG00000029193,Cckar,cholecystokinin A receptor,NCBIGene:12425,
ENSMUSG00000039178,Tbc1d19,"TBC1 domain family, member 19",NCBIGene:67249,
ENSMUSG00000039156,Stim2,stromal interaction molecule 2,NCBIGene:116873,
ENSMUSG00000105912,Gm10440,predicted gene 10440,NCBIGene:330086,
ENSMUSG00000097216,4932441J04Rik,RIKEN cDNA 4932441J04 gene,NCBIGene:319216,
ENSMUSG00000029108,Pcdh7,protocadherin 7,NCBIGene:54216,
ENSMUSG00000105234,4930459L07Rik,RIKEN cDNA 4930459L07 gene,NCBIGene:78163,
ENSMUSG00000100557,1700029E06Rik,RIKEN cDNA 1700029E06 gene,,
ENSMUSG00000106634,Gm43042,predicted gene 43042,,
ENSMUSG00000106013,4933402J10Rik,RIKEN cDNA 4933402J10 gene,NCBIGene:71057,
ENSMUSG00000105903,1700014F14Rik,RIKEN cDNA 1700014F14 gene,,
ENSMUSG00000089992,G6pd2,glucose-6-phosphate dehydrogenase 2,NCBIGene:14380,
ENSMUSG00000037999,Arap2,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2",NCBIGene:212285,
ENSMUSG00000090326,Dthd1,death domain containing 1,NCBIGene:100322896,
ENSMUSG00000090061,Nwd2,NACHT and WD repeat domain containing 2,NCBIGene:319807,
ENSMUSG00000060512,0610040J01Rik,RIKEN cDNA 0610040J01 gene,NCBIGene:76261,
ENSMUSG00000047881,Rell1,RELT-like 1,NCBIGene:100532,
ENSMUSG00000087552,Gm15819,predicted gene 15819,,
ENSMUSG00000106219,5830416I19Rik,RIKEN cDNA 5830416I19 gene,NCBIGene:74757,
ENSMUSG00000029171,Pgm2,phosphoglucomutase 2,NCBIGene:66681,
ENSMUSG00000029174,Tbc1d1,"TBC1 domain family, member 1",NCBIGene:57915,
ENSMUSG00000105730,Gm43838,predicted gene 43838,,
ENSMUSG00000105443,Gm43837,predicted gene 43837,,
ENSMUSG00000105105,Gm31363,"predicted gene, 31363",,
ENSMUSG00000100911,1700027F09Rik,RIKEN cDNA 1700027F09 gene,NCBIGene:69999,
ENSMUSG00000105352,C030018K13Rik,RIKEN cDNA C030018K13 gene,NCBIGene:77382,
ENSMUSG00000105402,Gm3716,predicted gene 3716,NCBIGene:100042198,
ENSMUSG00000105183,Gm42564,predicted gene 42564,,
ENSMUSG00000104928,Gm42565,predicted gene 42565,,
ENSMUSG00000097668,Gm26761,"predicted gene, 26761",,
ENSMUSG00000097640,Gm20033,"predicted gene, 20033",,
ENSMUSG00000029178,Klf3,Kruppel-like factor 3 (basic),NCBIGene:16599,
ENSMUSG00000044827,Tlr1,toll-like receptor 1,NCBIGene:21897,
ENSMUSG00000051498,Tlr6,toll-like receptor 6,NCBIGene:21899,
ENSMUSG00000029185,Fam114a1,"family with sequence similarity 114, member A1",NCBIGene:68303,
ENSMUSG00000037913,Tmem156,transmembrane protein 156,NCBIGene:243025,
ENSMUSG00000054920,Klhl5,kelch-like 5,NCBIGene:71778,
ENSMUSG00000037890,Wdr19,WD repeat domain 19,NCBIGene:213081,
ENSMUSG00000029191,Rfc1,replication factor C (activator 1) 1,NCBIGene:19687,
ENSMUSG00000029195,Klb,klotho beta,NCBIGene:83379,
ENSMUSG00000047215,Rpl9,ribosomal protein L9,NCBIGene:20005,
ENSMUSG00000029199,Lias,lipoic acid synthetase,NCBIGene:79464,
ENSMUSG00000029201,Ugdh,UDP-glucose dehydrogenase,NCBIGene:22235,
ENSMUSG00000037822,Smim14,small integral membrane protein 14,NCBIGene:68552,
ENSMUSG00000029203,Ube2k,ubiquitin-conjugating enzyme E2K,NCBIGene:53323,
